aX,aY,aZ,gX,gY,gZ
-0.189,0.828,-0.399,-6.042,24.109,-27.771

-0.075,2.176,-0.652,-27.222,51.758,-27.893
0.019,2.441,-0.745,-23.071,57.861,-10.498
0.060,2.652,-0.825,-8.362,53.711,-10.376
0.161,2.706,-0.920,15.808,45.715,-27.649
0.127,2.643,-1.027,38.086,40.039,-36.804
0.212,2.501,-1.053,56.641,35.339,-43.762
0.379,2.282,-1.031,67.749,33.386,-52.246
0.608,2.092,-1.051,74.524,32.288,-46.814
0.759,1.942,-1.075,78.186,26.550,-33.752
0.824,1.783,-1.064,79.224,16.968,-17.273
0.837,1.586,-1.010,78.369,7.019,1.160
0.877,1.357,-0.942,76.355,1.892,20.874
0.854,1.152,-0.877,72.510,2.747,39.978
0.862,0.990,-0.813,77.332,5.798,57.495
0.917,0.800,-0.796,94.604,2.930,70.618
0.912,0.621,-0.703,110.168,-8.240,67.383
0.911,0.390,-0.593,124.023,-24.475,42.786
0.900,0.088,-0.497,134.399,-45.410,8.667
0.890,-0.210,-0.409,133.728,-67.627,-23.254
0.882,-0.450,-0.295,122.559,-92.346,-47.058
0.873,-0.639,-0.258,108.704,-112.488,-55.237
0.848,-0.725,-0.238,91.370,-125.916,-34.729
0.819,-0.780,-0.223,72.388,-132.141,-5.981
0.822,-0.833,-0.195,53.101,-133.606,13.062
0.796,-0.884,-0.207,40.649,-135.925,24.170
0.786,-0.951,-0.206,33.508,-144.409,26.917
0.798,-1.043,-0.206,28.564,-157.043,22.583
0.736,-1.152,-0.234,23.926,-172.180,12.207
0.606,-1.255,-0.218,13.550,-194.336,7.202
0.394,-1.344,-0.198,-0.610,-213.135,-0.977
0.159,-1.407,-0.183,-15.930,-225.342,-9.216
-0.062,-1.454,-0.193,-31.189,-231.689,-15.320
-0.334,-1.458,-0.225,-46.387,-229.919,-16.541
-0.607,-1.421,-0.249,-64.026,-222.290,-15.625
-0.897,-1.331,-0.278,-82.458,-206.848,-13.245
-1.158,-1.235,-0.337,-98.450,-182.922,-10.986
-1.384,-1.120,-0.422,-113.281,-155.029,-7.874
-1.562,-0.980,-0.557,-128.662,-127.747,-3.723
-1.703,-0.795,-0.682,-147.949,-102.905,-1.465
-1.822,-0.535,-0.745,-171.814,-82.764,-2.808
-1.915,-0.250,-0.844,-190.063,-65.186,-8.667
-1.960,0.113,-0.990,-200.562,-46.692,-17.212
-1.902,0.519,-1.126,-207.275,-26.428,-27.039
-1.817,0.936,-1.267,-208.618,-5.432,-33.936
-1.719,1.343,-1.371,-205.078,13.123,-34.851
-1.629,1.719,-1.422,-199.402,29.663,-32.288
-1.532,2.030,-1.453,-189.026,45.044,-27.527
-1.422,2.251,-1.484,-173.706,59.143,-23.132
-1.303,2.391,-1.496,-158.752,70.618,-21.912
-1.196,2.470,-1.480,-145.386,79.407,-22.461
-1.069,2.503,-1.444,-131.165,87.036,-23.010
-0.956,2.516,-1.435,-115.051,94.788,-22.827
-0.849,2.520,-1.415,-99.365,102.112,-20.813
-0.720,2.501,-1.400,-85.083,110.901,-17.761
-0.593,2.465,-1.380,-71.411,119.690,-13.855
-0.479,2.430,-1.351,-58.167,126.343,-8.728
-0.350,2.380,-1.324,-43.884,131.775,-3.784
-0.230,2.305,-1.302,-30.823,135.864,-0.061
-0.120,2.212,-1.257,-19.531,137.695,2.686
-0.008,2.113,-1.234,-9.521,138.489,5.188
0.107,2.024,-1.220,-0.183,137.695,7.690
0.221,1.962,-1.208,9.033,134.888,9.277
0.325,1.894,-1.206,20.508,131.348,9.583
0.413,1.820,-1.193,31.128,125.610,8.850
0.469,1.762,-1.156,41.016,117.737,9.033
0.505,1.699,-1.127,53.223,109.009,9.583
0.535,1.616,-1.096,67.444,100.220,9.277
0.568,1.512,-1.092,81.360,92.651,8.301
0.598,1.401,-1.073,89.417,85.327,7.935
0.623,1.308,-1.016,89.111,77.332,9.155
0.630,1.238,-0.982,91.614,70.618,13.428
0.632,1.179,-0.966,98.145,65.491,20.325
0.619,1.128,-0.956,104.614,59.692,28.687
0.602,1.058,-0.930,109.558,53.467,35.828
0.586,0.956,-0.887,112.732,46.753,39.001
0.561,0.834,-0.836,113.708,38.574,37.170
0.532,0.707,-0.749,112.488,28.503,31.433
0.482,0.567,-0.672,111.511,18.555,24.658
0.415,0.424,-0.614,110.291,10.376,19.043
0.344,0.297,-0.542,104.309,4.456,15.869
0.269,0.191,-0.472,96.375,2.014,15.076
0.206,0.106,-0.421,87.891,1.953,15.564
0.150,0.067,-0.394,79.163,3.296,16.418
0.093,0.055,-0.376,71.350,4.272,14.587
0.043,0.040,-0.352,65.308,2.991,7.751
0.006,0.017,-0.337,59.570,0.854,-2.258
-0.027,-0.013,-0.316,52.368,-1.587,-12.512
-0.060,-0.027,-0.275,41.931,-4.150,-20.447
-0.100,-0.018,-0.239,30.701,-5.615,-24.292
-0.139,0.024,-0.219,19.409,-5.859,-25.085
-0.162,0.090,-0.222,9.399,-5.432,-24.048
-0.186,0.177,-0.227,0.305,-5.127,-22.583
-0.215,0.264,-0.238,-6.897,-4.639,-20.935
-0.230,0.343,-0.267,-14.038,-3.052,-19.775
-0.241,0.425,-0.283,-23.193,-0.610,-17.944
-0.251,0.523,-0.282,-32.593,1.160,-14.099
-0.256,0.625,-0.296,-37.659,2.686,-8.789
-0.265,0.722,-0.307,-38.940,3.296,-4.517
-0.274,0.804,-0.322,-36.133,2.686,-2.014
-0.278,0.859,-0.333,-30.701,1.343,-1.831
-0.278,0.885,-0.340,-24.475,-0.732,-3.296
-0.268,0.902,-0.345,-19.165,-2.380,-4.578
-0.263,0.914,-0.338,-17.334,-3.662,-4.639
-0.255,0.933,-0.326,-17.639,-3.967,-3.723
-0.245,0.960,-0.324,-16.968,-3.784,-1.404
-0.236,0.988,-0.346,-15.625,-3.113,1.587
-0.232,1.009,-0.367,-14.954,-2.930,5.554
-0.237,1.035,-0.376,-15.503,-2.747,9.094
-0.240,1.045,-0.388,-15.808,-2.197,11.475
